n d
9635000 23
9640000 3
9645000 13
9650000 11
9655000 33
9660000 67
9665000 11
9670000 59
9675000 43
9680000 107
9685000 3
9690000 7
9695000 11
9700000 27
9705000 163
9710000 11
9715000 227
9720000 19
9725000 101
9730000 3
9735000 31
9740000 149
9745000 3
9750000 13
9755000 23
9760000 17
9765000 13
9770000 59
9775000 57
9780000 13
9785000 23
9790000 51
9795000 13
9800000 17
9805000 23
9810000 43
9815000 17
9820000 3
9825000 19
9830000 23
9835000 21
9840000 7
9845000 53
9850000 83
9855000 19
9860000 11
9865000 27
9870000 19
9875000 101
9880000 39
9885000 139
9890000 29
9895000 737
9900000 13
9905000 77
9910000 27
9915000 61
9920000 17
9925000 33
9930000 103
9935000 17
9940000 113
9945000 13
9950000 359
9955000 3
9960000 7
9965000 11
9970000 33
9975000 7
9980000 47
9985000 317
9990000 13
9995000 11
10000000 27
