n mean median p90 p99 p999 max
3435000 41.31280000 22 101 298 680 1292
3445000 40.98840000 22 96 311 688 1667
3455000 41.98060000 22 101 312 653 1322
3465000 40.86340000 22 94 293 662 2447
3475000 41.49060000 22 98 305 626 1499
3485000 41.48240000 22 97 302 737 1268
3495000 42.08920000 22 102 303 611 1775
3505000 41.24580000 22 97 317 653 1346
3515000 41.63240000 22 101 314 647 1068
3525000 41.01700000 22 97 302 701 1268
3535000 41.90160000 22 98 302 827 2081
3545000 41.58940000 22 101 314 683 1481
3555000 42.45580000 22 101 303 743 1535
3565000 41.46480000 22 97 302 746 1388
3575000 41.60300000 22 101 302 627 1373
3585000 41.43340000 22 96 320 771 1094
3595000 41.91240000 22 97 311 710 1787
3605000 41.58440000 22 98 309 737 1511
3615000 41.62180000 22 98 308 578 1103
3625000 41.85000000 22 98 317 701 1553
3635000 41.23060000 22 94 302 746 1322
3645000 41.80000000 22 98 302 683 1724
3655000 41.44920000 22 97 314 737 1572
3665000 42.11060000 22 97 326 758 2045
3675000 41.72440000 22 97 317 725 1868
3685000 40.97820000 22 94 293 746 1436
3695000 41.81780000 22 101 317 644 1583
3705000 41.87740000 22 97 329 857 1856
3715000 41.81100000 22 98 314 746 1214
3725000 41.81560000 22 97 317 692 1079
3735000 42.18460000 22 101 335 737 1367
3745000 42.26220000 22 101 305 764 1619
3755000 42.08720000 22 101 314 701 914
3765000 43.11700000 22 101 323 834 1824
3775000 41.67540000 22 98 302 710 1983
3785000 42.60320000 22 102 347 746 2066
3795000 41.75800000 22 97 311 732 1220
3805000 41.95260000 22 95 314 809 1709
3815000 41.55760000 22 98 314 701 1145
3825000 41.63380000 22 101 316 746 1338
3835000 42.78720000 22 101 330 701 2762
3845000 42.11900000 22 98 308 704 1556
3855000 41.49520000 22 96 314 680 1439
3865000 42.21000000 22 101 317 683 1028
3875000 42.34940000 22 101 317 716 2276
3885000 41.83900000 22 97 312 701 1280
3895000 43.19340000 22 104 321 803 1373
3905000 41.69620000 22 98 314 647 1439
3915000 41.08300000 22 95 295 659 1583
3925000 41.36100000 22 98 305 627 1229
3935000 41.61560000 22 97 305 683 932
3945000 42.05440000 22 101 312 653 1433
3955000 41.75100000 22 96 291 800 1670
3965000 41.10140000 22 99 311 641 1268
3975000 42.31060000 22 98 320 758 1199
3985000 41.70600000 22 98 320 641 848
3995000 42.20920000 22 101 311 746 1709
4005000 42.10000000 22 99 305 683 1460
4015000 41.98860000 22 99 317 662 1373
4025000 41.64140000 22 101 303 662 1256
4035000 41.09680000 22 98 290 596 1004
4045000 41.83260000 22 98 311 758 1355
4055000 41.77280000 22 98 311 654 1124
4065000 41.02840000 22 98 293 743 2447
4075000 41.68980000 22 97 317 761 1187
4085000 41.92360000 22 98 332 662 947
4095000 41.14060000 22 98 298 674 1136
4105000 42.33660000 22 98 317 750 2270
4115000 41.62940000 22 98 309 746 1247
4125000 41.43400000 22 97 311 692 1229
4135000 42.00660000 22 97 303 785 1553
4145000 42.31940000 22 101 317 743 1388
4155000 42.27940000 22 102 304 683 1775
4165000 42.17760000 22 98 316 680 1157
4175000 43.03900000 22 103 332 725 1649
4185000 41.41360000 22 99 296 656 1724
4195000 41.98860000 22 97 319 701 1619
4205000 42.23180000 22 101 311 652 2087
4215000 42.26860000 22 99 338 704 1262
4225000 42.46920000 22 98 323 669 2234
4235000 42.48800000 22 101 310 797 1460
4245000 114.78640000 22 101 300 636 731165
4255000 43.13220000 22 103 327 809 1733
4265000 42.50080000 22 98 314 764 1481
4275000 41.68600000 22 99 295 692 1136
4285000 41.63700000 22 99 302 683 977
4295000 42.12140000 22 98 302 704 3992
4305000 42.16540000 22 98 314 743 1598
4315000 41.46720000 22 98 302 695 1133
4325000 41.91020000 22 98 314 743 1205
4335000 41.73340000 22 97 305 848 2066
4345000 42.22800000 22 101 312 701 1796
4355000 42.50140000 22 101 337 737 2006
4365000 42.19240000 22 98 311 653 1481
4375000 42.30480000 22 101 330 653 1739
4385000 42.48560000 22 101 335 734 1229
4395000 41.84320000 22 98 302 704 1178
4405000 41.64000000 22 94 314 842 1499
4415000 42.67700000 22 99 320 785 2271
4425000 42.50500000 22 98 338 821 1268
4435000 41.85660000 22 101 302 701 1394
4445000 42.00040000 22 97 326 732 1382
4455000 42.24400000 22 102 320 641 1436
4465000 41.44800000 22 98 285 632 1124
4475000 41.58140000 22 98 310 638 1964
4485000 42.16060000 22 102 309 647 974
4495000 41.94540000 22 101 332 614 1194
4505000 41.92700000 22 98 311 674 1208
4515000 41.47120000 22 98 302 617 1061
4525000 42.55380000 22 98 331 821 1418
4535000 42.83320000 22 103 311 776 2129
4545000 42.47440000 22 101 337 758 1451
4555000 42.24540000 22 101 303 647 1499
4565000 41.41340000 22 96 309 599 1187
4575000 41.90440000 22 99 320 716 1137
4585000 42.40740000 22 98 317 662 2153
4595000 42.02120000 22 99 303 701 1388
4605000 42.05080000 22 101 302 683 1446
4615000 42.59940000 22 101 338 680 1712
4625000 41.43820000 22 96 296 692 1583
4635000 41.77120000 22 99 311 641 1283
